nombre,urlAT,derivadas,categoríaLN
Ravioles,https://www.alternativateatral.com//obra77951-ravioles,obra77951-ravioles,4
Mensaje bailado #2,,,4
Yuna soy yo,https://www.alternativateatral.com//obra78122-yuna-soy-yo,obra78122-yuna-soy-yo,4
Caturno,https://www.alternativateatral.com//obra75665-caturno,obra75665-caturno,3
Vassa,,"obra78773-vassa,obra78683-natalia-bazan-presenta-de-barro-y-cielo-primer-disco-solista,obra28273-anda-calabaza,obra70109-siglo-de-oro-trans-basado-en-don-gil-de-las-calzas-verdes,obra73916-andrea-bazan-y-caro-bonillo-en-vivo,obra74511-anda-calabaza-en-alboroto-de-picnic,obra53085-tom-pain-basado-en-nada,obra62492-vassa-zheleznova,obra58743-cruel-basada-en-la-tragedia-de-ricardo-iii,obra62791-bazan-reverso-levar,obra66801-lau-favazza-presenta-fantasiosa,obra63909-pulsional-envasado-al-vacio-,obra57407-basajaunbestiabruto,obra60818-natalia-bazan-y-su-runfla-rioplatense,obra58663-humor-es-basalo,obra60955-anda-calabaza-presenta-fiesta-acustica,obra61747-telaranas-envasado-en-7-escenas,obra60615-ciclo-todo-concuerda-clasico-duo-clement-silly-y-carla-vazzana,obra40008-natalia-bazan-y-su-runfla-rioplatense,obra53797-la-vida-calabaza,obra50880-la-hora-de-la-calabaza,obra35681-barrabazadas,obra44604-anda-calabaza-sin-fin,obra35307-natalia-bazan,obra36581-bramaje-natalia-bazan,obra20867-basada-en-hechos-reales,obra33758-vasana,obra32869-los-calzones-de-la-abuela-presentan-vasasana,obra28081-cabeza-de-calabaza-corazon-de-manzana,obra20112-humor-en-basalo,obra18039-bazar-de-cuentos,obra17472-basavilbaso-el-sueno-termino,obra9044-oscar-bazan-album-de-valses-y-otros-ismos,obra57955-basado-en-hechos-reales,obra46722-el-bazar-de-las-munecas,obra49203-don-cesar-bazan,obra51603-a-la-gran-muneca-bazar-y-jugueteria,obra52192-il-delirio-dell-oste-bassa,obra60752-hagan-patria-y-empiecen-a-liquidar-basada-en-textos-de-lilita-carrio",3
La boda de la hija del Presidente,,"obra66667-la-boda-de-la-hija-del-presidente,obra22803-banquete-de-bodas-de-la-hija-del-presidente",3
Clausura del amor,https://www.alternativateatral.com//obra78304-clausura-del-amor,obra78304-clausura-del-amor,3
El clásico binomio,,"obra78196-el-clasico-binomio,obra65037-el-clasico-binomio,obra41119-el-clasico-binomio,obra4527-el-clasico-binomio,obra9964-el-clasico-binomio,obra5280-el-clasico-binomio,obra3952-el-clasico-binomio,obra38614-el-clasico-binomio-que-cosa-rara-es-ser-artista,obra44826-el-clasico-binomio",3
Pajarita,,"obra77934-pajarita,obra35782-cuentos-de-la-pajarita-de-papel",4
"Julia, laberinto de memorias",,"obra79589-julia-laberinto-de-memorias-teatro-debate,obra77971-julia-laberinto-de-memorias",3
